"","Order_Number","Sex","Age","Age_Group","Price","Monthly_Install","Delivery","CB","CB_Class","SP","SP_Class","Payment","Previous_Contracts","Periods","Overdue","default","Previous_Contracts_YN"
"3193",559993,"Male",64,"60s",3414000,341400,"Install",3,"CB.Class 1",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3197",559946,"Female",49,"40s",2634000,263400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3198",559923,"Female",68,"60s",2454000,245400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3199",559911,"Female",51,"50s",2274000,227400,"Install",6,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3201",560707,"Female",59,"50s",3414000,341400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3202",559867,"Female",59,"50s",2874000,287400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3209",562420,"Male",51,"50s",2274000,227400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3211",559764,"Female",70,"over 70s",2274000,227400,"Install",2,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3212",559742,"Female",43,"40s",2994000,299400,"Install",6,"CB.Class 2",4,"SP.Class 2","CMS",0,6,0,"No","No"
"3213",560701,"Male",34,"30s",3774000,377400,"Install",7,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3214",560697,"Male",34,"30s",2454000,245400,"Install",7,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3215",559702,"Male",34,"30s",1794000,179400,"Install",7,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3216",559685,"Female",65,"60s",2274000,227400,"Install",2,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3217",560718,"Male",62,"60s",2214000,221400,"Install",6,"CB.Class 2",3,"SP.Class 2","CMS",0,6,0,"No","No"
"3218",559677,"Male",62,"60s",2994000,299400,"Install",6,"CB.Class 2",3,"SP.Class 2","CMS",0,6,0,"No","No"
"3219",561222,"Male",43,"40s",1854000,185400,"Install",5,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3220",559664,"Male",43,"40s",2274000,227400,"Install",5,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3222",559629,"Female",64,"60s",2274000,227400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3223",559610,"Female",51,"50s",2874000,287400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3224",559591,"Male",59,"50s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3226",559524,"Male",49,"40s",2574000,257400,"Install",1,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3227",559522,"Male",49,"40s",2514000,251400,"Install",1,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3229",559497,"Female",50,"50s",2874000,0,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3230",559496,"Female",50,"50s",2574000,0,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3232",559538,"Male",36,"30s",2514000,251400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3233",559482,"Male",36,"30s",4794000,479400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3234",560783,"Female",47,"40s",2754000,275400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3236",559479,"Female",47,"40s",4554000,455400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3238",559514,"Female",51,"50s",2994000,299400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3239",559413,"Female",51,"50s",2274000,227400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3240",559406,"Female",47,"40s",2454000,245400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3241",559452,"Female",50,"50s",2214000,221400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3242",559392,"Female",50,"50s",1854000,185400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3243",559365,"Female",42,"40s",2154000,215400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3247",559299,"Female",50,"50s",2994000,299400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3249",559498,"Female",55,"50s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3250",559286,"Female",55,"50s",3954000,395400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3251",559462,"Female",43,"40s",2454000,245400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3252",559283,"Female",43,"40s",2154000,215400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3254",559258,"Female",45,"40s",2214000,221400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3255",559169,"Male",42,"40s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3256",559143,"Female",52,"50s",1854000,185400,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3257",559468,"Male",49,"40s",4554000,455400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3258",559467,"Male",49,"40s",1854000,185400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3259",559131,"Male",49,"40s",2454000,245400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3260",559118,"Female",38,"30s",2214000,221400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3267",559430,"Male",48,"40s",2334000,233400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3268",559033,"Male",48,"40s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3269",558957,"Female",55,"50s",1854000,185400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3270",560782,"Male",68,"60s",2214000,221400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3271",558940,"Male",68,"60s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3272",558894,"Male",45,"40s",2454000,245400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3276",560774,"Female",36,"30s",2514000,251400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3277",558874,"Female",36,"30s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3278",558849,"Male",54,"50s",1854000,185400,"Install",4,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3279",559429,"Male",62,"60s",1854000,185400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3280",558842,"Male",62,"60s",2454000,245400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3281",559511,"Male",46,"40s",2154000,215400,"Install",1,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3282",558817,"Male",46,"40s",2754000,275400,"Install",1,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3283",559466,"Female",48,"40s",2154000,215400,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3284",558811,"Female",48,"40s",2274000,227400,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3287",558766,"Female",55,"50s",2994000,299400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3289",558757,"Male",45,"40s",2994000,299400,"Install",2,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3291",559443,"Male",46,"40s",2874000,287400,"Install",3,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3292",558753,"Male",46,"40s",3954000,395400,"Install",3,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3293",558747,"Male",62,"60s",2874000,287400,"Install",4,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3294",558728,"Female",61,"60s",2874000,287400,"Install",3,"CB.Class 1",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3295",558711,"Male",45,"40s",3174000,317400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3297",561205,"Female",51,"50s",2154000,215400,"Install",2,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3298",558702,"Female",51,"50s",2454000,245400,"Install",2,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3299",559456,"Female",44,"40s",2454000,245400,"Install",7,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3300",558663,"Female",44,"40s",2154000,215400,"Install",7,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3301",558633,"Female",60,"60s",2454000,245400,"Install",3,"CB.Class 1",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3302",558627,"Female",49,"40s",2454000,245400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3304",558635,"Male",41,"40s",2454000,81800,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,4,"Yes","No"
"3305",558621,"Male",41,"40s",3534000,117800,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,4,"Yes","No"
"3306",562432,"Female",70,"over 70s",3414000,227600,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,2,"No","No"
"3308",558609,"Female",70,"over 70s",3294000,329400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3309",558600,"Female",51,"50s",2874000,0,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3312",560705,"Female",58,"50s",3774000,377400,"Install",6,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3313",558571,"Female",58,"50s",3534000,353400,"Install",6,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3315",558546,"Female",51,"50s",2754000,275400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3316",558524,"Female",46,"40s",2514000,251400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3317",558486,"Female",51,"50s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3318",558484,"Female",53,"50s",2874000,0,"Install",6,"CB.Class 2",1,"SP.Class 1","creditCard",0,7,7,"Yes","No"
"3320",558490,"Female",58,"50s",2574000,42900,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,7,6,"Yes","No"
"3321",558483,"Female",58,"50s",2394000,39900,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,7,6,"Yes","No"
"3322",558481,"Male",40,"40s",2874000,287400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3324",558515,"Male",42,"40s",2514000,209500,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,2,"No","No"
"3325",558478,"Male",42,"40s",2574000,214500,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,2,"No","No"
"3326",558527,"Male",53,"50s",2574000,42900,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,7,6,"Yes","No"
"3327",558477,"Male",53,"50s",2574000,42900,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,7,6,"Yes","No"
"3328",558458,"Male",45,"40s",2274000,37900,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,7,6,"Yes","No"
"3329",558446,"Female",53,"50s",1854000,185400,"Install",4,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3330",558444,"Female",53,"50s",2994000,299400,"Install",4,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3331",558434,"Male",54,"50s",2574000,300300,"Install",1,"CB.Class 1",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3332",558429,"Male",54,"50s",2514000,293300,"Install",1,"CB.Class 1",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3333",558553,"Female",61,"60s",2574000,257400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",1,6,0,"No","Yes"
"3334",558427,"Female",61,"60s",2514000,251400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",1,6,0,"No","Yes"
"3336",558426,"Female",63,"60s",2094000,244300,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,7,0,"No","No"
"3337",558280,"Female",63,"60s",2454000,245400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3338",558274,"Female",50,"50s",2454000,245400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3339",558238,"Female",55,"50s",3114000,311400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3340",558229,"Male",63,"60s",2994000,299400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",1,6,0,"No","Yes"
"3341",558219,"Female",49,"40s",1854000,185400,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3342",558489,"Male",47,"40s",2214000,258300,"Install",5,"CB.Class 2",1,"SP.Class 1","creditCard",0,7,0,"No","No"
"3343",558209,"Male",47,"40s",1854000,216300,"Install",5,"CB.Class 2",1,"SP.Class 1","creditCard",0,7,0,"No","No"
"3344",558545,"Male",58,"50s",2754000,275400,"Install",2,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3346",558543,"Male",58,"50s",2274000,227400,"Install",2,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3347",558464,"Male",46,"40s",2214000,258300,"Install",2,"CB.Class 1",1,"SP.Class 1","CMS",0,7,0,"No","No"
"3348",558199,"Male",46,"40s",1854000,216300,"Install",2,"CB.Class 1",1,"SP.Class 1","CMS",0,7,0,"No","No"
"3349",558617,"Female",59,"50s",2454000,245400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3350",558197,"Female",59,"50s",2274000,227400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3351",558450,"Male",55,"50s",3414000,341400,"Install",6,"CB.Class 2",3,"SP.Class 2","CMS",0,6,0,"No","No"
"3352",558185,"Male",55,"50s",2994000,299400,"Install",6,"CB.Class 2",3,"SP.Class 2","CMS",0,6,0,"No","No"
"3354",558474,"Female",57,"50s",3954000,461300,"Install",2,"CB.Class 1",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3355",558181,"Female",57,"50s",2874000,335300,"Install",2,"CB.Class 1",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3357",558513,"Male",58,"50s",2634000,263400,"Install",1,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3358",558139,"Male",58,"50s",2994000,299400,"Install",1,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3359",558138,"Female",40,"40s",2094000,244300,"Install",1,"CB.Class 1",1,"SP.Class 1","CMS",0,7,0,"No","No"
"3360",558123,"Male",45,"40s",2274000,0,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3362",558090,"Male",38,"30s",2574000,0,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,7,"Yes","No"
"3363",557988,"Male",38,"30s",2514000,0,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,7,"Yes","No"
"3364",557987,"Male",50,"50s",2874000,0,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,7,7,"Yes","No"
"3365",557970,"Female",43,"40s",3534000,412300,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,7,0,"No","No"
"3366",557860,"Male",43,"40s",2754000,321300,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,7,0,"No","No"
"3368",558393,"Female",49,"40s",2214000,221400,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3369",557805,"Female",49,"40s",1854000,185400,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3370",558547,"Male",66,"60s",2454000,245400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3371",557790,"Male",66,"60s",2154000,215400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3373",558493,"Female",46,"40s",2454000,245400,"Install",4,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3374",557788,"Female",46,"40s",3954000,395400,"Install",4,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3375",557781,"Male",38,"30s",2274000,265300,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,7,0,"No","No"
"3377",558531,"Female",43,"40s",2574000,257400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3378",557746,"Female",43,"40s",2514000,251400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3379",557743,"Male",58,"50s",2154000,251300,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,7,0,"No","No"
"3380",558554,"Female",56,"50s",1854000,216300,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,7,0,"No","No"
"3381",557704,"Female",56,"50s",2454000,245400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3382",557685,"Female",62,"60s",1854000,216300,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,7,0,"No","No"
"3383",557671,"Female",52,"50s",2994000,299400,"Install",1,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3386",557981,"Female",50,"50s",2274000,227400,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3387",557657,"Female",50,"50s",1674000,167400,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3388",558521,"Female",51,"50s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3390",558495,"Female",51,"50s",2154000,215400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3394",558001,"Female",43,"40s",2994000,349300,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3395",557585,"Female",43,"40s",2274000,265300,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3396",557579,"Female",70,"over 70s",3294000,329400,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3397",557548,"Female",50,"50s",2394000,279300,"Install",4,"CB.Class 2",3,"SP.Class 2","CMS",0,7,0,"No","No"
"3398",558588,"Female",45,"40s",3534000,412300,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3400",557547,"Female",45,"40s",2154000,251300,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3401",557542,"Female",50,"50s",1854000,185400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3402",557541,"Female",46,"40s",2454000,286300,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,7,0,"No","No"
"3403",558492,"Female",52,"50s",2334000,233400,"Install",4,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3404",557523,"Female",52,"50s",2454000,245400,"Install",4,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3405",557516,"Female",68,"60s",2994000,349300,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,7,0,"No","No"
"3406",557491,"Female",66,"60s",2514000,293300,"Install",3,"CB.Class 1",4,"SP.Class 2","creditCard",2,7,0,"No","Yes"
"3407",557475,"Female",58,"50s",2454000,286300,"Install",3,"CB.Class 1",3,"SP.Class 2","creditCard",0,7,0,"No","No"
"3408",559518,"Male",42,"40s",3954000,395400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3409",557423,"Female",46,"40s",1854000,216300,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,7,0,"No","No"
"3412",558420,"Female",56,"50s",2274000,227400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3413",557422,"Female",56,"50s",2994000,299400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3414",557361,"Female",53,"50s",1854000,216300,"Install",4,"CB.Class 2",4,"SP.Class 2","creditCard",0,7,0,"No","No"
"3417",557876,"Male",55,"50s",2514000,293300,"Install",2,"CB.Class 1",3,"SP.Class 2","CMS",0,7,0,"No","No"
"3418",557347,"Male",55,"50s",3534000,412300,"Install",2,"CB.Class 1",3,"SP.Class 2","CMS",0,7,0,"No","No"
"3420",558459,"Male",48,"40s",2454000,245400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3421",557298,"Male",48,"40s",1854000,185400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3424",558500,"Male",48,"40s",3414000,398300,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,7,0,"No","No"
"3425",557288,"Male",48,"40s",3534000,412300,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,7,0,"No","No"
"3426",558522,"Male",51,"50s",3414000,341400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3427",557280,"Male",51,"50s",3294000,329400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3428",557264,"Female",54,"50s",2574000,257400,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3430",557900,"Male",36,"30s",1854000,216300,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3431",557224,"Male",36,"30s",3774000,440300,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3432",558597,"Female",50,"50s",2214000,221400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3433",557215,"Female",50,"50s",1854000,185400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3435",558630,"Male",50,"50s",2514000,251400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3436",557207,"Male",50,"50s",4554000,455400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3437",558468,"Female",46,"40s",2454000,245400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3438",558467,"Male",45,"40s",2154000,215400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3439",557188,"Male",45,"40s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3440",557178,"Female",44,"40s",2994000,349300,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,7,0,"No","No"
"3441",557177,"Female",62,"60s",2454000,245400,"Install",2,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3442",558106,"Male",50,"50s",2394000,239400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3443",557154,"Male",50,"50s",2274000,265300,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,7,0,"No","No"
"3444",558536,"Female",70,"over 70s",1854000,185400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3445",557884,"Female",70,"over 70s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3446",557121,"Female",47,"40s",1854000,185400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",1,6,0,"No","Yes"
"3448",558640,"Female",63,"60s",2154000,215400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3449",557089,"Female",63,"60s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3450",557930,"Female",39,"30s",2994000,349300,"Install",7,"CB.Class 2",1,"SP.Class 1","CMS",0,7,0,"No","No"
"3451",557893,"Female",39,"30s",2574000,300300,"Install",7,"CB.Class 2",1,"SP.Class 1","CMS",0,7,0,"No","No"
"3452",557887,"Female",39,"30s",2514000,293300,"Install",7,"CB.Class 2",1,"SP.Class 1","CMS",0,7,0,"No","No"
"3453",558436,"Female",53,"50s",2574000,300300,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",1,7,0,"No","Yes"
"3456",558470,"Female",44,"40s",2274000,227400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3457",557064,"Female",44,"40s",2094000,209400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3458",557060,"Female",61,"60s",1974000,197400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3459",557059,"Female",49,"40s",2454000,245400,"Install",6,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3460",558645,"Female",39,"30s",4794000,479400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3461",558644,"Female",39,"30s",2574000,257400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3462",557043,"Female",39,"30s",2514000,251400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3463",557022,"Male",58,"50s",2994000,349300,"Install",4,"CB.Class 2",3,"SP.Class 2","CMS",0,7,0,"No","No"
"3467",558433,"Male",40,"40s",2274000,265300,"Install",1,"CB.Class 1",1,"SP.Class 1","CMS",0,7,0,"No","No"
"3468",556984,"Male",40,"40s",2754000,321300,"Install",1,"CB.Class 1",1,"SP.Class 1","CMS",0,7,0,"No","No"
"3469",556971,"Female",52,"50s",1854000,216300,"Install",6,"CB.Class 2",3,"SP.Class 2","CMS",0,7,0,"No","No"
"3471",556968,"Female",43,"40s",2274000,227400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3474",558508,"Female",58,"50s",1854000,185400,"Install",2,"CB.Class 1",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3475",559469,"Female",43,"40s",2574000,257400,"Install",4,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
